GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
otp-jenkinns,temperature,TemperatureConverter,0,31,0,4,0,4,0,6,0,4
otp-jenkinns,org.example,Main,21,0,2,0,5,0,3,0,2,0
